Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0.4,0.1,0.3,0.4,0.1,0.5,0.1,0.2,0.3,0.5,0.2,0.5,0.3,0.3,0.4,0.4,0.2,0.4,0.5,0.1,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.2
0.5,0.1,0.4,0.5,0.3,0.2,0.4,0.5,0.3,0.4,0.2,0.1,0.4,0.5,1,0.5,0.2,0.5,0.4,0.5,0.4,0.1,0.2,0.1,0.5,0.5,0.3,0.3,0.1
0.2,0.4,0.5,0.4,0.1,0.1,0.3,0.5,0.4,0.4,0.2,0.5,0.2,0.4,1,0.3,0.5,0.4,0.1,0.5,0.3,0.1,0.3,0.2,0.4,0.2,0.5,0.4,0.3
0.4,0.5,0.5,0.3,0.4,0.1,0.5,0.3,0.1,0.4,0.5,0.1,0.5,1,1,1,0.4,0.2,0.5,0.5,0.2,0.5,0.5,0.4,0.2,0.4,0.1,0.1,0.4
0.4,0.3,0.2,0.3,0.3,0.5,0.2,0.1,0.4,0.2,0.5,0.1,0.2,1,1.5,1,0.4,0.3,0.3,0.1,0.2,0.1,0.3,0.1,0.1,0.2,0.3,0.3,0.1
0.4,0.3,0.4,0.2,0.1,0.2,0.2,0.5,0.2,0.2,0.2,0.4,1,1,1.5,1,1,0.5,0.5,0.3,0.2,0.1,0.5,0.5,0.3,0.1,0.3,0.5,0.2
0.3,0.5,0.3,0.3,0.1,0.4,0.4,0.4,0.1,0.1,0.5,0.5,1,1.5,1.5,1.5,1,0.4,0.1,0.2,0.5,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2
0.2,0.3,0.1,0.1,0.1,0.4,0.1,0.3,0.2,0.1,0.5,1,1.5,1.5,2,1.5,1.5,1,0.3,0.4,0.2,0.1,0.2,0.5,0.3,0.4,0.5,0.3,0.5
0.3,0.4,0.5,0.4,0.1,0.3,0.4,0.1,0.2,0.1,0.3,1,1.5,1.5,2,1.5,1.5,1,0.2,0.4,0.3,0.4,0.3,0.4,0.5,0.5,0.4,0.3,0.3
0.2,0.5,0.2,0.4,0.5,0.1,0.2,0.1,0.1,0.2,1,1,1.5,1.5,2,1.5,1.5,1,1,0.1,0.5,0.1,0.5,0.3,0.4,0.1,0.1,0.4,0.4
